Ticker,Short Name,Market Cap,Sector,Industry,PE Ratio,Dividend Yield,Forward P/E Ratio,50日均差%,200日均差%,CurrentY成長,NextY成長,CurrentQ成長,NextQ成長,stock,ethnic_group
BLDR,"Builders FirstSource, Inc.",6549395968,industrials,building-products-equipment,66.16304,0.0,13.767008,-0.11299256,-0.30719802,-0.5404,0.39630002,-0.42279997,-0.4332,,
BLK,"BlackRock, Inc.",173306855424,financial-services,asset-management,25.542625,0.020068422,16.586166,-0.036776654,0.004949949,0.17040001,0.1426,0.2354,0.1725,,
BMY,Bristol-Myers Squibb Company,127158984704,healthcare,drug-manufacturers-general,13.711453,0.04008304,9.482333,-0.028994502,0.05631833,0.12979999,-0.0552,0.061100002,0.2665,,
BNY,The Bank of New York Mellon Cor,101890965504,financial-services,banks-diversified,17.522755,0.013776073,14.652332,-0.05722803,0.10963407,0.2334,0.1079,0.1785,0.1,,
BR,"Broadridge Financial Solutions,",18587834368,technology,information-technology-services,16.981249,0.023690926,14.082804,-0.01770799,-0.06393267,0.0988,0.097399995,-0.0934,0.119799994,,
BRO,"Brown & Brown, Inc.",20893071360,financial-services,insurance-brokers,19.948881,0.010031103,12.940503,-0.10633776,-0.09189944,0.052199997,0.0765,0.0342,0.0066000004,,
BSX,Boston Scientific Corporation,65099390976,healthcare,medical-devices,18.186234,0.0,13.136461,-0.04045394,-0.29813707,0.0708,0.0436,0.031,0.048299998,,
BX,Blackstone Inc.,148228882432,financial-services,asset-management,27.742731,0.04137331,16.568024,-0.075007774,-0.046483286,0.0802,0.2441,-0.104499996,0.0076,,
BXP,"BXP, Inc.",11632226304,real-estate,reit-office,34.575268,0.043661315,28.931715,-0.05333761,0.01694537,,0.060100004,2.4961,-0.1125,,
C,"Citigroup, Inc.",222210048000,financial-services,banks-diversified,14.274785,0.017771196,10.271437,-0.013529274,0.06037757,0.48150003,0.15619999,0.1575,0.8757,,
CAG,"ConAgra Brands, Inc.",7073200128,consumer-defensive,packaged-foods,0.0,0.09421265,9.495968,-0.029546935,-0.06134298,-0.16149999,0.0792,-0.2783,-0.098400004,,
CAH,"Cardinal Health, Inc.",51641114624,healthcare,medical-distribution,30.753462,0.0090719825,15.773538,-0.04847449,0.023585942,0.1476,0.12020001,0.1517,0.1843,,
CARR,Carrier Global Corporation,45552201728,industrials,building-products-equipment,39.471428,0.017301355,16.700869,-0.10657411,-0.1021401,0.113800004,0.147,0.1487,1.0944,,
CASY,"Caseys General Stores, Inc.",21615415296,consumer-cyclical,specialty-retail,28.18458,0.0040318444,24.9363,-0.25971484,-0.19894838,0.113000005,0.09770001,0.23290001,0.6747,,
CAT,"Caterpillar, Inc.",371421904896,industrials,farm-heavy-construction-machinery,34.843037,0.0075443964,24.956036,-0.03512185,0.028943304,0.4264,0.1909,0.39740002,0.3404,,
CB,Chubb Limited,129540022272,financial-services,insurance-property-casualty,11.894084,0.01165273,11.537223,-0.028887276,0.022058703,0.1182,0.0499,-0.1532,-0.0419,,
CBOE,"Cboe Global Markets, Inc.",27865327616,financial-services,financial-data-stock-exchanges,20.78115,0.0106104715,17.528082,-0.078903064,-0.06844568,0.3225,0.0788,0.2879,0.1371,,
CBRE,CBRE Group Inc,40844595200,real-estate,real-estate-services,32.27689,0.0,15.507908,-0.027007805,-0.036009338,0.22479999,0.16399999,0.2138,-0.0070999996,,
CCI,Crown Castle Inc.,31625691136,real-estate,reit-specialty,29.538776,0.05804425,25.064247,-0.044302493,-0.13830051,-0.0853,0.2526,0.0622,0.0996,,
CCL,Carnival Corporation Ltd.,30515783680,consumer-cyclical,travel-services,10.0360365,0.013446886,8.555115,-0.13598533,-0.19344327,-0.0119,0.1729,-0.054,-0.2532,,
CDNS,"Cadence Design Systems, Inc.",83430309888,technology,software-application,60.10913,0.0,31.737736,-0.062042363,-0.07061857,0.18370001,0.1723,0.0598,0.0147,,
