Ticker,Date,Close,High,Low,Open,Interval
SNDK,2025-05-23,37.279998779296875,37.56700134277344,35.790000915527344,36.25,1d
SNDK,2025-05-27,38.18000030517578,38.619998931884766,37.5,37.94499969482422,1d
SNDK,2025-05-28,38.58000183105469,38.90999984741211,37.79999923706055,38.400001525878906,1d
SNDK,2025-05-29,38.599998474121094,39.224998474121094,37.685001373291016,39.040000915527344,1d
SNDK,2025-05-30,37.689998626708984,38.45000076293945,36.68000030517578,38.189998626708984,1d
SNDK,2025-06-02,37.33000183105469,37.880001068115234,36.207000732421875,37.540000915527344,1d
SNDK,2025-06-03,38.63999938964844,39.2400016784668,36.869998931884766,37.45000076293945,1d
SNDK,2025-06-04,39.81999969482422,40.27000045776367,38.349998474121094,38.63999938964844,1d
SNDK,2025-06-05,39.119998931884766,40.45000076293945,37.33000183105469,39.375,1d
SNDK,2025-06-06,39.150001525878906,40.154998779296875,38.529998779296875,39.72999954223633,1d
SNDK,2025-06-09,41.81999969482422,42.23500061035156,39.54999923706055,40.27000045776367,1d
SNDK,2025-06-10,41.59000015258789,42.65999984741211,40.75,41.790000915527344,1d
SNDK,2025-06-11,40.22999954223633,43.22999954223633,39.88999938964844,42.380001068115234,1d
SNDK,2025-06-12,41.29999923706055,41.83000183105469,39.439998626708984,39.66999816894531,1d
SNDK,2025-06-13,42.5,42.83000183105469,40.779998779296875,41.0,1d
SNDK,2025-06-16,44.209999084472656,44.849998474121094,42.560001373291016,43.369998931884766,1d
SNDK,2025-06-17,44.09000015258789,44.558998107910156,43.53499984741211,44.22999954223633,1d
SNDK,2025-06-18,46.619998931884766,47.43000030517578,44.86000061035156,45.0,1d
SNDK,2025-06-20,46.58000183105469,48.209999084472656,44.7599983215332,46.97999954223633,1d
SNDK,2025-06-23,46.95000076293945,48.25,45.80400085449219,46.36000061035156,1d
SNDK,2025-06-24,47.34000015258789,48.75,46.709999084472656,47.18000030517578,1d
SNDK,2025-06-25,47.25,48.15999984741211,47.04999923706055,47.34000015258789,1d
SNDK,2025-06-26,47.439998626708984,49.81999969482422,47.06999969482422,49.595001220703125,1d
SNDK,2025-06-27,47.150001525878906,47.7400016784668,46.189998626708984,47.22999954223633,1d
SNDK,2025-06-30,45.349998474121094,47.34000015258789,45.33000183105469,47.22999954223633,1d
SNDK,2025-07-01,44.959999084472656,45.915000915527344,44.29999923706055,45.70000076293945,1d
SNDK,2025-07-02,46.209999084472656,46.2400016784668,44.16999816894531,44.52000045776367,1d
SNDK,2025-07-03,46.40999984741211,47.31999969482422,45.88999938964844,46.095001220703125,1d
SNDK,2025-07-07,45.220001220703125,47.23500061035156,45.09000015258789,47.13999938964844,1d
SNDK,2025-07-08,46.16999816894531,47.25,45.61000061035156,46.119998931884766,1d
SNDK,2025-07-09,46.20000076293945,47.09000015258789,45.98500061035156,46.119998931884766,1d
SNDK,2025-07-10,46.95000076293945,47.75,46.619998931884766,47.369998931884766,1d
SNDK,2025-07-11,46.09000015258789,47.415000915527344,45.82500076293945,46.290000915527344,1d
SNDK,2025-07-14,42.47999954223633,44.849998474121094,41.459999084472656,44.630001068115234,1d
SNDK,2025-07-15,42.720001220703125,43.45000076293945,42.51499938964844,42.79999923706055,1d
SNDK,2025-07-16,41.36000061035156,42.959999084472656,40.29999923706055,42.7599983215332,1d
SNDK,2025-07-17,41.52000045776367,42.2599983215332,41.040000915527344,41.400001525878906,1d
SNDK,2025-07-18,42.189998626708984,42.28499984741211,40.84000015258789,41.540000915527344,1d
SNDK,2025-07-21,41.61000061035156,42.279998779296875,40.54999923706055,41.72800064086914,1d
SNDK,2025-07-22,41.36000061035156,41.97999954223633,40.88999938964844,41.5099983215332,1d
SNDK,2025-07-23,43.0,43.650001525878906,41.060001373291016,41.060001373291016,1d
SNDK,2025-07-24,42.060001373291016,43.5,42.029998779296875,43.08000183105469,1d
SNDK,2025-07-25,42.47999954223633,42.60499954223633,41.5,42.47999954223633,1d
SNDK,2025-07-28,41.88999938964844,43.2400016784668,41.56999969482422,43.08000183105469,1d
SNDK,2025-07-29,42.93000030517578,43.189998626708984,41.676998138427734,42.2599983215332,1d
SNDK,2025-07-30,43.38999938964844,43.470001220703125,42.06999969482422,42.06999969482422,1d
SNDK,2025-07-31,42.91999816894531,44.619998931884766,42.24300003051758,43.72999954223633,1d
SNDK,2025-08-01,41.33000183105469,42.224998474121094,40.099998474121094,42.18000030517578,1d
SNDK,2025-08-04,42.5099983215332,42.540000915527344,41.599998474121094,42.11000061035156,1d
SNDK,2025-08-05,41.93000030517578,43.39500045776367,41.369998931884766,42.529998779296875,1d
SNDK,2025-08-06,42.099998474121094,43.0,41.6150016784668,42.720001220703125,1d
SNDK,2025-08-07,40.689998626708984,42.349998474121094,40.529998779296875,42.0,1d
SNDK,2025-08-08,44.34000015258789,44.849998474121094,41.0,41.40999984741211,1d
SNDK,2025-08-11,43.369998931884766,46.349998474121094,43.16999816894531,45.70000076293945,1d
SNDK,2025-08-12,46.83000183105469,47.86000061035156,45.0,45.209999084472656,1d
SNDK,2025-08-13,47.0099983215332,48.459999084472656,46.79999923706055,47.02000045776367,1d
SNDK,2025-08-14,46.68000030517578,47.263999938964844,46.08000183105469,46.43000030517578,1d
SNDK,2025-08-15,44.540000915527344,46.130001068115234,42.81999969482422,43.060001373291016,1d
SNDK,2025-08-18,45.52000045776367,45.869998931884766,44.25,44.25,1d
SNDK,2025-08-19,44.58000183105469,46.5,44.2599983215332,46.22999954223633,1d
SNDK,2025-08-20,44.400001525878906,45.0,43.20199966430664,44.86000061035156,1d
SNDK,2025-08-21,45.5,45.599998474121094,43.560001373291016,43.869998931884766,1d
SNDK,2025-08-22,46.369998931884766,47.189998626708984,45.630001068115234,46.11000061035156,1d
SNDK,2025-08-25,46.779998779296875,46.880001068115234,46.0099983215332,46.36000061035156,1d
SNDK,2025-08-26,47.349998474121094,48.209999084472656,46.75,46.75,1d
SNDK,2025-08-27,48.439998626708984,49.08000183105469,47.400001525878906,47.400001525878906,1d
SNDK,2025-08-28,50.869998931884766,51.22999954223633,48.560001373291016,48.560001373291016,1d
SNDK,2025-08-29,52.470001220703125,52.939998626708984,50.81999969482422,51.150001525878906,1d
SNDK,2025-09-02,51.06999969482422,51.70000076293945,50.06999969482422,51.0099983215332,1d
SNDK,2025-09-03,53.0099983215332,53.224998474121094,50.650001525878906,51.91999816894531,1d
SNDK,2025-09-04,62.5,62.650001525878906,55.54999923706055,55.66999816894531,1d
SNDK,2025-09-05,68.55000305175781,68.66999816894531,63.7400016784668,65.5199966430664,1d
SNDK,2025-09-08,70.49500274658203,71.0,67.86000061035156,68.6500015258789,1d
SNDK,2025-09-09,70.51000213623047,71.4000015258789,69.56999969482422,70.26000213623047,1d
SNDK,2025-09-10,73.91999816894531,74.48999786376953,72.02999877929688,72.41999816894531,1d
SNDK,2025-09-11,84.30000305175781,85.88999938964844,81.37999725341797,82.30000305175781,1d
SNDK,2025-09-12,86.12999725341797,86.95999908447266,82.27999877929688,85.30999755859375,1d
SNDK,2025-09-15,90.08999633789062,92.05500030517578,85.12000274658203,85.30000305175781,1d
SNDK,2025-09-16,91.55000305175781,93.12999725341797,89.55999755859375,90.30999755859375,1d
SNDK,2025-09-17,93.97000122070312,94.80999755859375,90.22000122070312,90.7750015258789,1d
SNDK,2025-09-18,98.87000274658203,102.93000030517578,96.85800170898438,97.30000305175781,1d
SNDK,2025-09-19,102.20999908447266,102.98999786376953,96.70999908447266,98.0,1d
SNDK,2025-09-22,102.91999816894531,108.80000305175781,101.58999633789062,105.76000213623047,1d
SNDK,2025-09-23,106.4000015258789,110.20999908447266,104.69999694824219,105.0,1d
SNDK,2025-09-24,99.83000183105469,107.72000122070312,96.63099670410156,103.55500030517578,1d
SNDK,2025-09-25,94.29000091552734,100.44999694824219,93.53500366210938,96.26499938964844,1d
SNDK,2025-09-26,97.12000274658203,99.64600372314453,94.38999938964844,96.0,1d
SNDK,2025-09-29,113.5,114.0,103.3479995727539,104.25,1d
SNDK,2025-09-30,112.19999694824219,120.73999786376953,112.11000061035156,114.0999984741211,1d
