Date,pct_above_20dma,pct_above_50dma,pct_above_150dma,pct_above_200dma,n_valid_200,advances,declines,unchanged,net_advances,ad_line,ad_ratio,mcclellan_osc,mcclellan_sum,breadth_thrust,new_highs,new_lows,net_hl,net_hl_10d,pct_from_52w_high_median,cap_weighted,equal_weighted,ew_minus_cw,ew_cw_ratio
2025-01-15,58.502024291497975,33.60323886639676,,,0,370,124,0,246,1381,2.9838709677419355,43.27424977254596,-1188.326447888063,0.5714096361615546,0,0,0,0.0,,112.02423098013244,106.8436229533333,-5.180608026799149,0.9537545762959272
2025-01-16,67.61133603238866,39.068825910931174,,,0,369,122,3,247,1628,3.0245901639344264,63.69010364921814,-1124.636344238845,0.6041583377518811,0,0,0,0.0,,111.70805369941067,107.70667931249167,-4.001374386918997,0.9641800724799477
2025-01-17,74.49392712550608,43.11740890688259,,,0,338,152,4,186,1814,2.223684210526316,74.65311912670084,-1049.983225112144,0.6197288069546931,0,0,0,0.0,,112.90914129545216,108.30424515717361,-4.604896138278548,0.9592159139158732
2025-01-21,82.5910931174089,54.65587044534413,,,0,413,80,1,333,2147,5.1625,98.53177427443653,-951.4514508377075,0.6593650592767791,0,0,0,0.0,,113.97697976819552,109.68185443680862,-4.295125331386899,0.9623158523754336
2025-01-22,77.1255060728745,51.21457489878542,,,0,180,313,1,-133,2014,0.5750798722044729,71.28937365154434,-880.1620771861632,0.6058644233839331,0,0,0,0.0,,114.75781536963984,109.38474489930938,-5.373070470330461,0.9531790453397568
2025-01-23,79.1497975708502,54.8582995951417,,,0,321,169,4,152,2166,1.8994082840236686,76.48682809686764,-803.6752490892956,0.6148167174625501,0,0,0,0.0,,115.3446440993947,109.94661866160857,-5.398025437786131,0.9532009008312987
2025-01-24,79.75708502024291,54.45344129554656,,,0,246,242,6,4,2170,1.0165289256198347,65.56846042211451,-738.106788667181,0.5946861071340387,0,0,0,0.0,,115.1192767208581,109.85300190537457,-5.266274815483527,0.9542537534504041
2025-01-27,81.57894736842105,62.75303643724696,,,0,331,163,0,168,2338,2.0306748466257667,72.50460404149082,-665.6021846256903,0.6083869032605698,0,0,0,0.0,,113.03943597158413,109.59216559929655,-3.4472703722875764,0.9695038254335049
2025-01-28,74.69635627530364,55.87044534412956,,,0,163,328,3,-165,2173,0.4969512195121951,44.36803037455455,-621.2341542511357,0.5581302954098237,0,0,0,0.0,,114.23312117800282,109.25949109182804,-4.973630086174779,0.9564607004090814
2025-01-29,71.05263157894737,52.63157894736842,,,0,216,278,0,-62,2111,0.7769784172661871,30.51452095202616,-590.7196332991095,0.5361515078012654,0,0,0,0.0,,113.75481804105038,108.9777704048227,-4.777047636227678,0.9580057555495909
2025-01-30,77.53036437246963,58.29959514170041,,,0,406,87,1,319,2430,4.666666666666667,57.07995082744151,-533.639682471668,0.5884020357946183,0,0,0,0.0,,114.55543945783542,110.15599149249798,-4.399447965337444,0.9615954686555347
2025-01-31,70.44534412955466,52.63157894736842,,,0,121,372,1,-251,2179,0.32526881720430106,21.815685924476725,-511.8239965471913,0.5260445939186282,0,0,0,0.0,,114.1401368534612,109.36598207975878,-4.774154773702421,0.9581728662211811
2025-02-03,63.36032388663968,48.987854251012145,,,0,181,313,0,-132,2047,0.5782747603833865,3.6001954157749125,-508.2238011314164,0.49701771523044186,0,0,0,0.0,,113.24120229979064,108.6818314653551,-4.559370834435541,0.959737527138177
2025-02-04,62.34817813765182,49.797570850202426,,,0,249,243,2,6,2053,1.0246913580246915,1.9755613897883748,-506.248239741628,0.4986685962750178,0,0,0,0.0,,114.19303282393868,108.83681796490998,-5.356214859028697,0.9530950818401781
2025-02-05,65.18218623481782,54.25101214574899,,,0,347,145,2,202,2255,2.393103448275862,20.4146781707829,-485.8335615708451,0.5362351338332925,0,0,0,0.0,,114.16744284800083,109.52873358141669,-4.638709266584144,0.9593692461627613
2025-02-06,61.1336032388664,54.45344129554656,,,0,261,230,3,31,2286,1.1347826086956523,18.770357319986992,-467.0632042508581,0.5353866055192222,0,0,0,0.0,,114.60920708111497,109.50276226729159,-5.106444813823387,0.955444724347414
2025-02-07,56.2753036437247,52.42914979757085,,,0,138,354,2,-216,2070,0.3898305084745763,-7.729388794043437,-474.79259304490154,0.48904136903900886,0,0,0,0.0,,113.40023685089002,108.97182094272182,-4.428415908168205,0.9609487948954539
2025-02-10,54.8582995951417,53.23886639676113,,,0,289,202,3,87,2157,1.4306930693069306,0.3199914167627327,-474.4726016281388,0.5071419755199741,0,0,0,0.0,,114.20426183093998,109.37498145200153,-4.829280378938449,0.9577136588292354
2025-02-11,52.22672064777328,54.8582995951417,,,0,252,241,1,11,2168,1.045643153526971,-0.49169615238949405,-474.96429778052834,0.5078718320822654,0,0,0,0.0,,114.08132590900806,109.26415595910777,-4.81716994990029,0.9577742464727094
2025-02-12,45.1417004048583,50.202429149797574,,,0,162,331,1,-169,1999,0.48942598187311176,-19.401854025034073,-494.3661518055624,0.47527702728176496,0,0,0,0.0,,113.79476115645275,108.70031120661146,-5.094449949841291,0.9552312435294179
2025-02-13,50.607287449392715,56.88259109311741,,,0,384,110,0,274,2273,3.4909090909090907,9.365026944141917,-485.0011248614205,0.5301953741801118,0,0,0,0.0,,115.08030312792054,109.58907066049184,-5.491232467428702,0.9522834723390955
2025-02-14,49.59514170040486,56.88259109311741,,,0,214,280,1,-66,2207,0.7642857142857142,-0.4855751508671844,-485.4867000122877,0.5125595571595098,0,0,0,0.0,,115.11417899334252,109.49119589341001,-5.622983099932512,0.9511529930621517
2025-02-18,54.8582995951417,60.121457489878544,,,0,354,139,2,215,2422,2.5467625899280577,19.47842631749276,-466.008273694795,0.5499219537371833,0,0,0,0.0,,115.32796878030584,110.32577655683986,-5.002192223465983,0.956626373668343
2025-02-19,57.48987854251012,60.931174089068826,,,0,287,208,0,79,2501,1.3798076923076923,22.712881703979306,-443.2953919908157,0.55535395847551,0,0,0,0.0,,115.58371466743651,110.53848537386355,-5.045229293572959,0.9563499987166068
2025-02-20,53.84615384615385,59.10931174089069,,,0,222,273,0,-51,2450,0.8131868131868132,12.233463519592277,-431.0619284712234,0.5359232112044806,0,0,0,0.0,,114.9171105787256,110.11850401841548,-4.79860656031012,0.9582428888427127
2025-02-21,44.12955465587044,53.84615384615385,,,0,116,378,1,-262,2188,0.30687830687830686,-18.100737658787917,-449.1626661300113,0.48117677530642633,0,0,0,0.0,,112.73280564151892,108.42515164670341,-4.30765399481551,0.9617888158615204
2025-02-24,45.34412955465587,54.45344129554656,,,0,273,221,1,52,2240,1.2352941176470589,-12.228804260837322,-461.3914703908486,0.49416855778659763,0,0,0,0.0,,112.03230056960093,108.40809963010534,-3.6242009394955943,0.9676503926004445
2025-02-25,47.77327935222672,53.84615384615385,,,0,287,207,1,80,2320,1.3864734299516908,-4.318874356002546,-465.71034474685115,0.5099509399924941,0,0,0,0.0,,111.30383027900028,108.4428935985893,-2.860936680410987,0.9742961524932287
2025-02-26,45.34412955465587,53.84615384615385,,,0,207,286,2,-79,2241,0.7237762237762237,-13.594895976194863,-479.30524072304604,0.49357409565677596,0,0,0,0.0,,111.2894712428722,108.35922185114417,-2.930249391728026,0.9736700214404541
2025-02-27,40.283400809716596,49.19028340080972,,,0,179,316,0,-137,2104,0.5664556962025317,-27.316505840164176,-506.6217465632102,0.4695817440130279,0,0,0,0.0,,109.36875777195577,107.31679621327712,-2.0519615586786557,0.9812381378331352
