Industry,n,market_cap,cw_1W,ew_1W,med_1W,cw_1M,ew_1M,med_1M,cw_3M,ew_3M,med_3M,pct_positive_3M,cw_6M,ew_6M,med_6M,cw_12M,ew_12M,med_12M,pct_above_50dma,pct_above_200dma,pct_within_5pct_of_52wh,median_pct_from_52wh,median_pe,median_fwd_pe,median_div_yield,median_cy_growth,median_ny_growth,median_cq_growth,median_nq_growth,fwd_pe_over_ny_growth,Sector,rs_3m
communication-equipment,6,730444707840.0,0.8522675164091664,5.376833325771021,7.500560596963735,-1.1808584458489868,0.9973605057847982,-3.007530777364681,-3.334987736602568,12.886223960355656,15.898297741444233,66.66666666666666,33.945810235136165,51.54794113938252,33.005980987600324,72.36112220308473,140.87646916577043,103.95002176035564,66.66666666666667,83.33333333333333,16.666666666666668,-8.495617367068037,32.554393000000005,21.218618,0.45182190000000005,64.9149985,14.955000000000002,68.38,38.785000000000004,1.4188310264125708,technology,-8.700295893103704
banks-regional,9,427305803776.0,-4.9903166188214225,-5.2054868155586655,-5.324359220211106,-5.406122247390199,-5.696196728500621,-6.2394594925694875,-3.420373360277573,-4.338126428063161,-3.7258792506134952,0.0,13.075456618642022,12.067401918926349,12.844339881112354,13.726216244112921,12.768713816188296,13.761997430302774,0.0,55.55555555555556,0.0,-11.503093542559684,11.976607,10.026747,3.4414295,13.68,13.87,7.510000499999999,10.190000000000001,0.7229089401586157,financial-services,-8.785681516778709
specialty-chemicals,9,532123553792.0,0.38438706198538064,0.35175030828835047,1.587155764939685,-4.7298420704068755,-5.9613615741734165,-5.1570894587655065,-3.434791788062719,-1.9200442273657987,1.9228738014246627,55.55555555555556,0.6827725869359424,0.3487945961152156,4.59493369807662,3.198975260096182,15.917530964297185,5.180640818912474,11.11111111111111,33.333333333333336,11.11111111111111,-13.682323705788724,29.974855,19.939238,1.9138757,8.61,9.71,5.17,12.629999999999999,2.0534745623068997,basic-materials,-8.800099944563854
travel-services,6,353838662144.0,-3.7991108914601113,-2.851266306470013,-4.005966741691081,-17.446373038477002,-16.28071308973975,-15.563292293955183,-4.351095801416493,-7.876590343803103,-12.288113937551687,33.33333333333333,-0.7970564525780599,-3.454992425348482,-8.81126080144709,-12.27323846006011,-10.954513910929874,-24.864024704501198,0.0,33.333333333333336,0.0,-28.543175406496996,16.0812135,11.5240455,0.7902397,14.16,16.9199995,11.315,19.5249995,0.6810901797012464,consumer-cyclical,-9.71640395791763
restaurants,6,399075855360.0,-1.583268965642659,-1.9747416431229237,-1.241681414013368,-8.696979361639901,-9.01704179770279,-9.699229972498413,-4.70368266406207,-1.1050919962167873,-1.5583293892187766,50.0,-9.293465887522567,-5.942418779318135,-6.59383082599248,-6.226064199778092,-4.816823185995883,-8.64977732814774,16.666666666666668,16.666666666666668,0.0,-19.567649376175638,20.3873205,18.959939,2.5670292,5.9800001,9.86500045,4.88,12.0699995,1.92194000356077,consumer-cyclical,-10.068990820563206
residential-construction,4,100587675648.0,2.6212105779073402,2.546373544881275,2.5746503215370087,-3.285234553759808,-3.177684674487699,-3.7043932722866604,-4.7547438082166105,-3.9213734686741804,-3.749406367385155,0.0,-0.2610133330941289,-1.2759248801126999,0.29250841920253623,-18.33576155710306,-18.744980718284555,-17.51792994552285,25.0,0.0,0.0,-19.563664838910675,14.7344525,13.880295,1.0486402750000001,-13.780000000000001,10.264999999999999,-9.090000000000002,-1.865,1.3521962981003413,consumer-cyclical,-10.120051964717746
capital-markets,5,1032656666624.0,-1.2154333000811812,0.6640840894282274,-2.782924954322219,-5.1532847390011955,-2.5003962580614147,-6.545286868444089,-4.811770354838152,0.34021511936563664,-2.889989437390039,40.0,23.026843309011525,30.304658286598237,23.152163138037096,20.210091060882984,19.49857234497598,20.268925889057023,40.0,80.0,0.0,-11.930899669869998,18.278688,14.673403,1.1040419,27.11,18.100001,21.360001,11.42,0.8106852038295468,financial-services,-10.177078511339289
electronic-components,4,436018204672.0,7.795131828637025,7.066700134903386,6.335659296237672,5.277547952658246,3.959909505688694,5.207901963920081,-5.2470182415503945,-6.189577859716372,-6.372591338897449,50.0,21.496345206322044,18.143244848783173,19.220626098981818,42.80554241128633,43.64651691771333,36.14490528973108,75.0,75.0,0.0,-16.59603700102452,40.04542,21.809766000000003,0.6363823200000001,30.84,27.3350005,28.23,27.205001,0.7978696031119518,technology,-10.61232639805153
discount-stores,5,1396094414848.0,1.2590484838911342,0.9979892659194568,1.878070568478507,1.710920286237383,-3.184992871250876,-3.8805597643889578,-5.606246916742896,2.9982289843850984,1.4372605597248178,60.0,-5.8307058919381145,6.201560848443434,-1.0151737830628615,6.951325617557047,26.9346657308006,20.764222481340756,40.0,20.0,0.0,-17.746918540229306,16.49585,16.655233,0.8981757,15.409999999999998,5.6900002,10.05,6.0599998,2.9271058725094594,consumer-defensive,-10.971555073244033
reit-specialty,7,357264253952.0,1.8633300616968107,0.6071125848906075,-1.2013614381132687,-1.831029057014677,-3.249109268909621,-2.4357639240047413,-5.82808591990307,-7.457445311745256,-6.612601109544891,0.0,5.123877283648537,3.6618149668040014,3.572078890524044,7.815434270106514,4.088344258523023,-5.840431397224444,28.571428571428573,42.857142857142854,14.285714285714286,-10.530682703057659,32.636364,32.031647,2.8890409999999997,21.93,6.140000000000001,6.22,10.33,5.216880618892508,real-estate,-11.193394076404207
